# Created by Octave 3.2.2, Sat Jan 23 21:21:26 2010 EST <matthewbot@Matt>
# name: samples
# type: matrix
# rows: 2134
# columns: 2
 0.57525 0.9637559999999999
 1.607 0.963919
 1.321 0.974539
 0.543 0.972835
 0.0805 0.966747
 -0.4035 0.96002
 -0.8655 0.971593
 -0.60225 0.974953
 0.44925 0.96973
 1.679 0.963682
 0.55775 0.970978
 -1.30225 0.973463
 -1.755 0.974768
 0.7025 0.973989
 2.222 0.98076
 1.26725 0.9772690000000001
 0.8065 0.982749
 -0.46825 0.980607
 -1.33425 0.978877
 -1.20875 0.980912
 0.0505 1.003937
 0.17175 1.007478
 -0.59075 1.005316
 0.28725 1.019753
 0.41925 1.033776
 -0.08799999999999999 1.033877
 -1.1495 1.026216
 -0.28625 1.027665
 -0.25025 1.023504
 -0.44825 1.025558
 -0.979 1.011784
 -0.9335 1.012206
 -0.825 1.008902
 -1.077 1.011103
 -0.017 1.003036
 2.2745 1.000248
 2.1205 1.00474
 -0.8175 1.016709
 -2.007 1.014646
 -1.7675 1.017379
 0.87375 1.019871
 1.274 1.029755
 1.003 1.026017
 0.05525 1.016823
 -0.3495 1.01476
 0.59375 1.033936
 0.65325 1.027881
 0.39175 1.015844
 -0.38025 1.028656
 -1.12075 1.035583
 -0.8975 1.039437
 1.528 1.039038
 2.12925 1.034735
 -0.083 1.040228
 -2.31475 1.042442
 -1.591 1.039848
 0.887 1.043896
 1.23725 1.042179
 -0.35875 1.045788
 -1.107 1.048487
 -1.5215 1.054424
 -1.598 1.055671
 -0.0115 1.050222
 1.30125 1.054706
 0.50575 1.053458
 -0.90025 1.055761
 -1.10075 1.053877
 -0.891 1.057786
 -0.17425 1.069592
 0.85175 1.063702
 2.001 1.062023
 0.32775 1.067591
 -0.85 1.065895
 -0.597 1.070459
 0.65 1.055419
 1.76375 1.068414
 0.2045 1.058073
 -0.47825 1.057452
 -2.17025 1.043587
 -2.9 1.063696
 -2.67275 1.074139
 0.94975 1.068369
 3.54575 1.066763
 2.0885 1.078373
 -1.3975 1.097593
 -2.24075 1.08748
 0.187 1.085745
 2.522 1.090249
 1.71175 1.092996
 -1.23425 1.088489
 -1.923 1.080646
 0.49975 1.08257
 2.0805 1.088164
 -0.30625 1.095455
 -2.848 1.088877
 -1.70275 1.085361
 1.4125 1.095813
 2.52775 1.084165
 0.92775 1.086724
 -0.211 1.079265
 0.45975 1.089624
 0.8725000000000001 1.095904
 -0.039 1.097954
 -1.22475 1.092483
 -0.548 1.085678
 1.775 1.08464
 2.472 1.0869
 0.28575 1.092503
 -2.343 1.091111
 -1.46225 1.091867
 0.4765 1.086814
 1.605 1.08811
 0.695 1.090951
 -1.4855 1.089763
 0.0645 1.091947
 0.1925 1.110029
 -0.1215 1.137687
 -2.93225 1.128812
 -1.46 1.134213
 1.40925 1.126254
 3.455 1.128731
 1.854 1.11737
 -1.422 1.118586
 -0.7 1.108433
 0.898 1.110908
 1.066 1.104437
 -2.44225 1.104647
 -2.4815 1.099933
 0.54325 1.127111
 3.67775 1.121014
 1.7925 1.111847
 -0.417 1.107682
 -1.222 1.097017
 0.353 1.127634
 1.6525 1.132648
 0.118 1.128812
 -3.657 1.120745
 -2.153 1.113521
 1.1725 1.115602
 3.08525 1.124256
 1.0545 1.120417
 -1.817 1.117592
 -2.407 1.1218
 -0.106 1.114599
 0.6925 1.105078
 0.495 1.096733
 -0.503 1.108255
 -0.35075 1.12051
 -0.0355 1.115278
 -1.576 1.114218
 -0.414 1.114288
 -0.75825 1.127874
 0.67725 1.118027
 -0.11475 1.120502
 0.68525 1.122306
 -0.31825 1.119454
 -1.137 1.105256
 -1.571 1.100173
 -0.7435 1.108205
 0.40725 1.105058
 1.445 1.094877
 1.1345 1.094586
 -0.427 1.110021
 -1.28625 1.135431
 -0.8129999999999999 1.126874
 0.99725 1.12447
 0.65925 1.139031
 -0.91475 1.158845
 -0.374 1.151774
 0.49525 1.152412
 -0.35225 1.15286
 0.278 1.157635
 -0.8149999999999999 1.149397
 -0.281 1.146744
 -0.174 1.146837
 -0.711 1.140817
 1.076 1.138768
 -0.878 1.15663
 -3.57075 1.176363
 -2.447 1.169749
 1.0325 1.168595
 3.3205 1.145409
 1.235 1.169269
 -0.82875 1.178931
 -1.71225 1.180553
 0.00775 1.169711
 1.15575 1.173887
 0.18375 1.16625
 -1.06475 1.178634
 -0.631 1.201748
 -0.745 1.195792
 -0.89625 1.195772
 -1.3215 1.181646
 0.676 1.182618
 1.44125 1.187488
 2.8745 1.194458
 3.032 1.187367
 1.1085 1.183532
 -1.92675 1.186391
 -2.83875 1.184645
 -0.54025 1.187945
 0.956 1.191015
 0.8405 1.202827
 -1.07625 1.198609
 -1.6075 1.193743
 -0.51275 1.189563
 -0.40225 1.19256
 -1.35225 1.184023
 0.1745 1.191456
 1.40925 1.18634
 1.56975 1.190331
 1.86375 1.202234
 0.5105 1.193772
 -1.36 1.191357
 -1.812 1.185272
 -1.555 1.188891
 -0.888 1.181687
 0.18575 1.174706
 2.746 1.176312
 4.37525 1.188422
 2.293 1.189271
 -1.7195 1.178884
 -3.01475 1.184933
 -1.69475 1.182723
 0.9017500000000001 1.180656
 2.47575 1.178819
 -0.16275 1.18209
 -3.551 1.168064
 -2.8835 1.163026
 0.525 1.16294
 3.00975 1.185157
 2.787 1.192666
 0.8385 1.177976
 -0.575 1.174517
 -1.61275 1.182055
 -1.12275 1.19125
 1.04375 1.179949
 1.1065 1.187308
 -0.08624999999999999 1.205632
 -1.497 1.205667
 -1.7515 1.205706
 1.1 1.205209
 1.50175 1.210519
 1.3 1.205491
 -2.231 1.195492
 -3.408 1.198768
 -1.848 1.20043
 1.21925 1.194107
 1.34775 1.18744
 -1.298 1.204408
 -1.13825 1.202411
 0.39725 1.192352
 1.72575 1.197267
 1.291 1.198376
 -0.7455000000000001 1.212697
 -1.76 1.197214
 -0.70275 1.210643
 1.3265 1.222696
 1.268 1.222417
 0.26325 1.220275
 -1.12675 1.211221
 -0.78625 1.208447
 0.507 1.201144
 0.23375 1.195065
 -0.11875 1.193021
 0.0445 1.202897
 1.02575 1.217096
 -0.00825 1.209941
 -0.491 1.223703
 -0.40225 1.238003
 0.5285 1.2411
 0.46375 1.231052
 0.6264999999999999 1.237512
 0.095 1.236602
 0.122 1.228732
 0.481 1.234945
 0.092 1.253115
 -1.65825 1.245485
 -3.006 1.233608
 -1.413 1.234493
 2.65975 1.231145
 1.3385 1.224682
 -0.9455 1.214511
 -1.65275 1.219941
 -0.139 1.221209
 0.364 1.220583
 0.0665 1.218452
 0.27775 1.230715
 0.58 1.223707
 0.9365 1.224493
 -0.269 1.235737
 -1.681 1.230591
 -1.56225 1.225
 1.0045 1.245923
 1.83525 1.258846
 1.1 1.254311
 -1.4075 1.262071
 -0.68875 1.257597
 1.48925 1.253763
 1.7485 1.246313
 -1.09 1.256374
 -3.47225 1.272455
 -2.836 1.275459
 -0.39225 1.269999
 3.30325 1.282141
 4.03975 1.26706
 0.87375 1.274387
 -2.93875 1.285825
 -2.23225 1.283065
 1.5165 1.273611
 2.668 1.267575
 0.1 1.253552
 -0.88075 1.258862
 0.9465 1.251868
 1.31975 1.260605
 -0.776 1.253263
 -1.7115 1.238876
 -1.53225 1.240142
 0.727 1.247673
 2.088 1.242353
 0.29125 1.258455
 0.156 1.260366
 -0.735 1.252576
 0.0465 1.250901
 0.846 1.244238
 1.203 1.266159
 0.16175 1.271921
 -1.35675 1.276229
 -1.549 1.276595
 1.3385 1.26953
 3.625 1.269417
 1.817 1.266015
 -1.64675 1.251898
 -1.662 1.24701
 1.7465 1.247686
 1.33125 1.239434
 -1.05825 1.23533
 -4.22225 1.238539
 -1.834 1.244429
 2.773 1.253219
 3.85975 1.254133
 -0.627 1.251484
 -4.41475 1.249939
 -4.4635 1.243214
 -0.07675 1.260953
 2.21175 1.265281
 1.8685 1.255651
 1.83775 1.257841
 1.24725 1.26072
 0.912 1.25828
 -1.759 1.247292
 -1.10875 1.242405
 2.15375 1.238033
 3.21975 1.230831
 1.47975 1.241649
 -0.51625 1.237459
 -1.28 1.231171
 -1.76825 1.236257
 -1.03425 1.224776
 0.254 1.221827
 2.558 1.220818
 0.98125 1.211633
 -1.817 1.216415
 -2.97275 1.216526
 -1.42025 1.213599
 0.72525 1.231642
 2.1005 1.232835
 2.979 1.238863
 1.728 1.265076
 -1.04 1.261802
 -3.98 1.250509
 -2.804 1.259654
 1.209 1.248215
 3.147 1.25057
 2.44925 1.265846
 -0.638 1.282064
 0.08325 1.275973
 1.50175 1.271936
 1.175 1.28416
 -0.6675 1.277086
 0.112 1.285745
 1.3185 1.299159
 0.46575 1.294324
 -2.091 1.283095
 -2.986 1.28675
 1.219 1.280477
 4.65525 1.268118
 1.2245 1.282358
 -2.01825 1.282372
 -2.16425 1.279712
 -0.325 1.292833
 -2.0375 1.295251
 -1.142 1.296
 2.60525 1.300178
 2.95725 1.307178
 1.002 1.29853
 -3.1035 1.308342
 -3.33625 1.292846
 0.295 1.284809
 3.632 1.286394
 1.32975 1.301668
 -1.66025 1.331558
 -2.998 1.329904
 -0.44625 1.338604
 1.69575 1.340069
 1.55725 1.327279
 -1.58675 1.337664
 -1.486 1.367952
 -0.4655 1.354078
 2.7125 1.349571
 2.92125 1.351131
 -0.8695000000000001 1.337099
 -6.0515 1.354908
 -2.01075 1.365174
 4.23375 1.363591
 7.40325 1.370865
 1.3005 1.377353
 -5.86 1.376776
 -7.31825 1.385868
 -1.921 1.378622
 2.91175 1.386868
 4.97375 1.411295
 2.2845 1.404929
 -0.587 1.40876
 -1.82825 1.413268
 -1.91425 1.404667
 -2.947 1.394342
 -0.8110000000000001 1.386764
 -0.315 1.38818
 1.044 1.379517
 3.00175 1.377944
 0.78975 1.366694
 -0.724 1.358703
 -0.83025 1.350347
 -0.2575 1.339023
 -0.96075 1.333197
 -5.444 1.328556
 2.4765 1.317184
 6.666 1.310824
 -1.90225 1.311674
 -7.699 1.30699
 -0.645 1.300014
 5.89975 1.328447
 3.76325 1.319777
 -2.0835 1.313377
 -2.92 1.334779
 -0.608 1.330614
 0.55975 1.332966
 -0.86825 1.331678
 -1.06075 1.333506
 -1.429 1.331231
 -0.09825 1.336294
 -0.1655 1.330456
 0.714 1.329442
 1.45375 1.347753
 0.0325 1.337337
 -0.852 1.330237
 0.013 1.345618
 1.992 1.345789
 2.5125 1.346504
 0.1465 1.344351
 -1.89225 1.353266
 -0.399 1.359271
 2.30525 1.360923
 -0.6755 1.356207
 -2.243 1.356676
 -0.88225 1.362967
 2.41375 1.375827
 1.6105 1.39065
 -1.8515 1.421519
 -2.46875 1.419017
 -0.862 1.410015
 1.97525 1.409901
 0.234 1.401084
 -1.00275 1.388393
 -1.20275 1.394411
 -1.447 1.39952
 -0.25425 1.3905
 -1.3655 1.372703
 -1.85625 1.378097
 1.3505 1.369869
 1.18325 1.347279
 -0.32625 1.358821
 -5.7815 1.355007
 -3.45075 1.331351
 3.80975 1.323986
 7.415 1.338082
 4.50125 1.32196
 -3.48225 1.329014
 -6.90875 1.329628
 -3.848 1.299979
 1.858 1.301421
 4.716 1.301307
 1.27 1.31767
 -2.369 1.322122
 -4.49875 1.345579
 -2.111 1.341212
 0.54 1.339491
 1.13525 1.360059
 3.675 1.36058
 1.071 1.350443
 -3.9455 1.39574
 -7.56875 1.416011
 -2.908 1.436594
 1.03 1.431497
 4.691 1.466892
 3.48325 1.508131
 -0.8955 1.496044
 -1.583 1.527128
 -0.791 1.555281
 -0.821 1.528955
 1.49175 1.559893
 1.88775 1.595682
 -0.171 1.592331
 -2.299 1.598654
 -4.69075 1.597681
 -1.58675 1.645526
 1.679 1.592988
 -1.515 1.601464
 -3.6815 1.577756
 2.012 1.575371
 3.9445 1.550431
 0.99975 1.534044
 -2.7395 1.526713
 -1.51275 1.514582
 2.47175 1.505362
 4.10925 1.502551
 3.128 1.465959
 -1.21675 1.431336
 -2.0455 1.405306
 -0.8462499999999999 1.369455
 5.86975 1.402728
 5.74 1.378823
 3.42325 1.378452
 -0.944 1.358861
 -0.9915 1.331714
 0.43975 1.308535
 2.793 1.296533
 2.162 1.372459
 -0.032 1.372654
 0.73725 1.386165
 -0.123 1.389961
 0.6625 1.406442
 0.8625 1.417577
 0.84 1.408561
 2.984 1.488354
 2.4465 1.486645
 -1.09625 1.471073
 -2.0795 1.494186
 -0.16075 1.494958
 2.69975 1.478693
 2.192 1.458826
 -0.453 1.509733
 -2.5295 1.500276
 -1.863 1.490943
 0.9465 1.493353
 1.355 1.477672
 0.8605 1.445875
 -2.12425 1.427603
 0.38 1.424894
 1.09525 1.42277
 0.57175 1.454303
 -1.01225 1.499739
 -0.41675 1.516721
 0.913 1.526809
 0.25575 1.484438
 3.64325 1.509139
 1.157 1.492794
 -3.322 1.518924
 -3.85625 1.543901
 3.0845 1.583519
 7.52375 1.590645
 3.192 1.537411
 -5.93025 1.571457
 -4.66675 1.564285
 4.095 1.581597
 3.6365 1.586993
 -2.73275 1.577885
 -6.064 1.595543
 -1.438 1.532414
 3.1765 1.51869
 2.0105 1.51037
 -0.45 1.528605
 -5.318 1.531118
 1.497 1.533874
 6.4765 1.552917
 8.211 1.492229
 2.29325 1.492879
 -4.40025 1.514219
 -3.098 1.554825
 -1.765 1.593354
 2.501 1.581477
 2.769 1.61542
 -0.1775 1.611327
 -3.70475 1.63403
 -4.121 1.65083
 -0.40475 1.653148
 3.152 1.686638
 2.256 1.674279
 -1.51425 1.674112
 -3.293 1.646762
 -2.85625 1.63113
 -0.10075 1.603305
 1.042 1.59633
 1.50775 1.594022
 1.60525 1.574833
 1.5005 1.554618
 -1.098 1.564644
 -1.917 1.544707
 0.186 1.560773
 0.859 1.551152
 -0.5629999999999999 1.554793
 -1.262 1.572874
 -1.73675 1.588152
 0.71975 1.590725
 2.87325 1.566878
 2.01725 1.596881
 -0.9330000000000001 1.586881
 -1.862 1.578531
 -2.5975 1.560184
 0.8472499999999999 1.560238
 1.58725 1.556444
 3.474 1.542064
 3.03925 1.526001
 1.49575 1.540779
 -1.6595 1.535564
 -2.8775 1.532151
 -2.58475 1.543313
 1.59175 1.527584
 3.95375 1.525818
 3.193 1.524378
 -1.068 1.512072
 -2.2475 1.501635
 -0.571 1.531023
 2.304 1.563267
 2.3825 1.580972
 -0.2215 1.57898
 2.4185 1.604388
 2.93775 1.565903
 2.99575 1.588169
 0.575 1.579747
 -2.74625 1.599872
 -3.06825 1.5941
 -1.99425 1.602429
 1.57775 1.610198
 2.45975 1.591698
 -1.98475 1.581365
 -5.363 1.573786
 -0.34675 1.600254
 5.628 1.58733
 4.501 1.583495
 -2.17875 1.582109
 -5.03425 1.559401
 -2.923 1.575145
 2.9685 1.623312
 4.044 1.60327
 1.801 1.593106
 -0.851 1.609371
 -1.73275 1.607725
 -0.877 1.582812
 -0.107 1.586917
 -0.335 1.642672
 -1.522 1.632025
 -1.61025 1.610798
 -1.682 1.619988
 2.708 1.608039
 2.13325 1.623289
 -0.504 1.609032
 -4.10675 1.665105
 -2.621 1.649367
 5.29325 1.629698
 5.86 1.639986
 -0.1495 1.659158
 -5.62675 1.676503
 -5.993 1.64805
 2.416 1.602523
 7.99 1.599879
 6.04925 1.628112
 -3.7795 1.607631
 -5.019 1.630844
 -0.15225 1.632929
 1.70775 1.65605
 4.414 1.579675
 -0.34675 1.634695
 -0.179 1.63376
 2.686 1.604747
 -5.9495 1.638595
 -5.6715 1.649434
 3.18375 1.66332
 8.25 1.605598
 4.213 1.601431
 -6.12025 1.585555
 -5.1155 1.59666
 -0.252 1.587582
 4.74125 1.581718
 -0.1515 1.57616
 -4.68275 1.5321
 -0.56475 1.535228
 3.27925 1.523211
 4.322 1.521225
 2.4965 1.516846
 -1.08475 1.526211
 -2.596 1.511816
 -2.392 1.486017
 0.3065 1.49313
 1.10975 1.491469
 -0.17075 1.489882
 1.5805 1.509614
 0.65725 1.539278
 -0.192 1.521649
 -0.7514999999999999 1.530159
 -2.07025 1.543784
 -1.12825 1.540538
 1.61125 1.562973
 2.24525 1.566327
 -1.943 1.572979
 -3.34025 1.573203
 -0.855 1.582397
 2.96125 1.58443
 3.71325 1.62396
 -0.50425 1.60937
 -1.252 1.611677
 0.506 1.625394
 2.9565 1.679103
 -0.09475 1.680817
 -3.67675 1.682253
 -2.66075 1.685868
 1.96975 1.680595
 4.9105 1.725534
 1.82525 1.730672
 -0.7355 1.784728
 -2.774 1.765569
 -2.68 1.787556
 -0.35475 1.778775
 1.8505 1.835553
 2.466 1.817202
 0.524 1.857407
 -2.44675 1.912649
 -2.069 1.915516
 2.337 1.900243
 5.8505 1.94062
 3.5445 1.939762
 -3.47225 1.935182
 -5.572 1.913989
 0.313 1.982749
 7.03175 1.984524
 3.1425 1.983071
 -2.6735 2.020386
 -5.159 2.036941
 -1.0015 2.076724
 3.77325 2.046714
 3.583 2.107663
 0.88925 2.0883
 -3.09625 2.118743
 -2.6415 2.095732
 0.5125 2.120202
 2.734 2.113694
 0.985 2.122952
 -1.275 2.12701
 0.28975 2.145755
 0.196 2.186893
 0.8045 2.186451
 0.44925 2.197581
 0.9965000000000001 2.211642
 0.36325 2.249661
 3.04175 2.235373
 2.32375 2.226276
 0.72175 2.265979
 -0.133 2.26506
 0.03325 2.256746
 -0.6607499999999999 2.257057
 -2.286 2.260219
 -0.138 2.259563
 2.19 2.263943
 3.62925 2.256995
 0.26925 2.24244
 -3.4675 2.2517
 -3.513 2.239852
 2.095 2.237629
 4.62125 2.226778
 2.65575 2.207324
 -2.9695 2.222518
 -2.676 2.222126
 0.26725 2.194982
 2.559 2.172999
 2.25775 2.147641
 0.73125 2.129148
 -0.428 2.104609
 -0.173 2.087711
 -1.90875 2.057783
 -2.42875 2.038711
 -0.798 2.012287
 3.264 1.96626
 2.25925 1.960488
 1.871 1.93089
 0.5725 1.912482
 0.148 1.894247
 -0.9320000000000001 1.87719
 -1.9935 1.86936
 -1.491 1.814695
 2.09 1.787858
 3.90125 1.750217
 0.386 1.728136
 -2.887 1.745659
 -2.732 1.733124
 0.308 1.650918
 0.12725 1.633268
 0.57975 1.626183
 2.844 1.632503
 3.29725 1.628741
 0.81975 1.597756
 -1.8535 1.576283
 -4.791 1.505835
 -1.19625 1.478875
 0.7065 1.495496
 3.229 1.494348
 2.154 1.468274
 -0.29675 1.467148
 -2.02425 1.472607
 -1.876 1.388879
 0.27725 1.383679
 -0.271 1.412965
 0.20325 1.399728
 -0.9595 1.396548
 -2.075 1.375884
 -0.74825 1.381674
 0.092 1.317722
 0.61125 1.309463
 -1.521 1.326614
 -1.79275 1.318961
 -2.5115 1.308279
 -0.16475 1.301491
 -1.79875 1.302063
 -1.806 1.249872
 -2.03 1.247819
 -0.30075 1.26579
 0.3785 1.267921
 -0.192 1.254472
 -1.92825 1.263772
 -0.9340000000000001 1.276109
 -0.397 1.223721
 -0.479 1.221429
 -1.91675 1.246047
 -2.04425 1.239958
 -1.5215 1.227618
 2.999 1.228489
 1.54525 1.229824
 -1.70475 1.206157
 -2.71275 1.206395
 -0.26025 1.222779
 2.28 1.215458
 2.3805 1.187157
 -1.489 1.178106
 -3.65025 1.198207
 -2.53275 1.190976
 0.067 1.172469
 0.343 1.17338
 0.26375 1.190846
 -0.87675 1.187979
 -1.49825 1.186141
 -1.35 1.197929
 0.06900000000000001 1.183622
 1.10525 1.170965
 -0.0515 1.18459
 -1.502 1.191064
 -2.794 1.185454
 -1.60275 1.168972
 -0.7495000000000001 1.177283
 2.00325 1.18387
 1.036 1.186803
 -0.1955 1.181924
 -2.0475 1.180586
 -0.764 1.17622
 1.35325 1.161337
 2.1485 1.208134
 0.99325 1.212803
 -0.445 1.210187
 -2.7355 1.206929
 -2.66075 1.204256
 0.75325 1.205439
 3.093 1.215357
 3.36325 1.264287
 1.11175 1.259712
 -1.781 1.242962
 -4.4895 1.247237
 -1.093 1.266284
 3.046 1.291574
 5.60525 1.28275
 2.561 1.320179
 -2.48275 1.317305
 -3.463 1.313121
 -2.13825 1.304998
 -0.127 1.31585
 -0.2555 1.323324
 1.428 1.306623
 3.08375 1.378537
 -1.40025 1.391738
 -4.7015 1.389729
 -4.89 1.362703
 -0.3315 1.385398
 0.14125 1.3746
 0.801 1.39632
 -0.45875 1.488453
 2.512 1.508384
 2.018 1.520151
 -0.54025 1.530953
 -3.547 1.506375
 -1.16075 1.507452
 7.34175 1.686688
 4.262 1.673431
 -3.95425 1.692179
 -7.79675 1.700513
 -1.58025 1.753412
 4.531 1.731319
 5.0465 1.74825
 2.8105 1.870862
 -0.72 1.926916
 -1.35425 1.899067
 -2.693 1.928259
 -2.51625 1.947706
 0.638 1.952966
 1.5225 1.924936
 -0.8655 2.003275
 -4.3475 1.988317
 -2.211 1.976615
 4.8105 2.004026
 4.5845 1.982565
 -3.15 1.955177
 -6.588 1.948483
 -2.8895 1.84785
 5.6805 1.881059
 5.2665 1.851885
 0.257 1.840566
 -2.36075 1.809439
 -0.8635 1.829885
 1.35925 1.804934
 0.7544999999999999 1.769419
 -1.48275 1.74369
 -0.513 1.728297
 -0.372 1.693532
 1.73925 1.688324
 3.661 1.675413
 1.369 1.668826
 -1.15875 1.648694
 -4.96225 1.626817
 -4.70425 1.629223
 -0.212 1.611092
 1.83775 1.589012
 2.943 1.575487
 0.5992499999999999 1.569367
 0.05325 1.515782
 1.8205 1.503653
 0.3625 1.506867
 -1.199 1.493235
