# Created by Octave 3.2.2, Fri Jan 08 23:36:30 2010 EST <matthewbot@Matt>
# name: samples
# type: matrix
# rows: 2258
# columns: 2
 0.508227 -0.02825
 0.508227 -0.017
 0.508227 -0.02675
 0.508227 -0.025
 0.508227 -0.0395
 0.557003 -0.0655
 0.557003 -0.0915
 0.557003 -0.13075
 0.557003 -0.1355
 0.557003 -0.11075
 0.557003 -0.1
 0.557003 -0.1155
 0.484747 -0.09075
 0.484747 -0.09825
 0.484747 -0.0655
 0.484747 -0.04025
 0.484747 -0.027
 0.484747 -0.03825
 0.484747 -0.04675
 0.480304 -0.065
 0.480304 -0.055
 0.480304 -0.06225
 0.480304 -0.08875
 0.480304 -0.082
 0.480304 -0.0975
 0.480304 -0.115
 0.517548 -0.11625
 0.517548 -0.137
 0.517548 -0.15675
 0.517548 -0.1115
 0.517548 -0.11425
 0.517548 -0.1135
 0.517548 -0.092
 0.464979 -0.08674999999999999
 0.464979 -0.053
 0.464979 -0.06425
 0.464979 -0.07025000000000001
 0.464979 -0.04625
 0.464979 -0.0375
 0.464979 -0.06
 0.4982 -0.05425
 0.4982 -0.082
 0.4982 -0.07099999999999999
 0.4982 -0.07149999999999999
 0.4982 -0.05275
 0.4982 -0.09075
 0.4982 -0.092
 0.489698 -0.09825
 0.489698 -0.061
 0.489698 -0.081
 0.489698 -0.065
 0.489698 -0.098
 0.489698 -0.08225
 0.489698 -0.092
 0.503285 -0.11025
 0.503285 -0.1135
 0.503285 -0.09275
 0.503285 -0.08400000000000001
 0.503285 -0.10875
 0.503285 -0.09675
 0.503285 -0.095
 0.485451 -0.10625
 0.485451 -0.09275
 0.485451 -0.094
 0.485451 -0.093
 0.485451 -0.10075
 0.485451 -0.094
 0.485451 -0.078
 0.492972 -0.08599999999999999
 0.492972 -0.078
 0.492972 -0.077
 0.492972 -0.081
 0.492972 -0.0955
 0.492972 -0.1055
 0.492972 -0.097
 0.493262 -0.09875
 0.493262 -0.07675
 0.493262 -0.0775
 0.493262 -0.106
 0.493262 -0.0795
 0.493262 -0.08275
 0.493262 -0.093
 0.495131 -0.1175
 0.495131 -0.089
 0.495131 -0.0915
 0.495131 -0.09675
 0.495131 -0.08550000000000001
 0.495131 -0.09825
 0.495131 -0.099
 0.49727 -0.08699999999999999
 0.49727 -0.08674999999999999
 0.49727 -0.10225
 0.49727 -0.09
 0.49727 -0.07099999999999999
 0.49727 -0.0795
 0.517907 -0.09225
 0.517907 -0.09
 0.517907 -0.06275
 0.517907 -0.053
 0.517907 -0.0735
 0.517907 -0.07275
 0.517907 -0.0755
 0.48662 -0.07825
 0.48662 -0.04425
 0.48662 -0.03275
 0.48662 -0.05825
 0.48662 -0.03875
 0.48662 -0.0415
 0.48662 -0.0275
 0.494862 -0.056
 0.494862 -0.052
 0.494862 -0.0275
 0.494862 -0.015
 0.494862 -0.00625
 0.494862 0.008
 0.494862 0.01325
 0.487769 0.0065
 0.487769 0.04125
 0.487769 0.039
 0.487769 0.068
 0.487769 0.06850000000000001
 0.487769 0.07975
 0.487769 0.113
 0.530201 0.1165
 0.530201 0.117
 0.530201 0.10725
 0.530201 0.14
 0.530201 0.1505
 0.530201 0.169
 0.530201 0.15725
 0.480818 0.18975
 0.480818 0.192
 0.480818 0.18325
 0.480818 0.22125
 0.480818 0.2225
 0.480818 0.222
 0.480818 0.24575
 0.5107390000000001 0.252
 0.5107390000000001 0.2765
 0.5107390000000001 0.271
 0.5107390000000001 0.273
 0.5107390000000001 0.28325
 0.5107390000000001 0.298
 0.5107390000000001 0.29375
 0.520638 0.29125
 0.520638 0.335
 0.520638 0.32325
 0.520638 0.31125
 0.520638 0.34175
 0.520638 0.37975
 0.520638 0.376
 0.546906 0.33975
 0.546906 0.3165
 0.546906 0.316
 0.546906 0.36525
 0.546906 0.365
 0.546906 0.356
 0.546906 0.328
 0.581992 0.319
 0.581992 0.32175
 0.581992 0.32375
 0.581992 0.31325
 0.581992 0.311
 0.581992 0.32125
 0.581992 0.31125
 0.5821 0.303
 0.5821 0.29
 0.5821 0.2905
 0.5821 0.29175
 0.5821 0.29325
 0.5821 0.293
 0.5821 0.299
 0.597415 0.275
 0.597415 0.29
 0.597415 0.289
 0.597415 0.30375
 0.597415 0.305
 0.597415 0.326
 0.597415 0.3245
 0.598241 0.3125
 0.598241 0.336
 0.598241 0.32125
 0.598241 0.317
 0.598241 0.3125
 0.598241 0.3025
 0.598241 0.32325
 0.6338 0.30575
 0.6338 0.31325
 0.6338 0.282
 0.6338 0.284
 0.6338 0.259
 0.6338 0.28925
 0.6338 0.255
 0.636672 0.25
 0.636672 0.25175
 0.636672 0.25125
 0.636672 0.226
 0.636672 0.21775
 0.636672 0.21725
 0.636672 0.20375
 0.663017 0.20375
 0.663017 0.22
 0.663017 0.194
 0.663017 0.1685
 0.663017 0.17125
 0.663017 0.1545
 0.663017 0.162
 0.6680199999999999 0.14925
 0.6680199999999999 0.1185
 0.6680199999999999 0.1225
 0.6680199999999999 0.13
 0.6680199999999999 0.119
 0.6680199999999999 0.1045
 0.6680199999999999 0.10975
 0.681934 0.091
 0.681934 0.095
 0.681934 0.106
 0.681934 0.075
 0.681934 0.08175
 0.681934 0.07099999999999999
 0.681934 0.066
 0.683131 0.07325
 0.683131 0.11325
 0.683131 0.08975
 0.683131 0.08
 0.683131 0.0585
 0.683131 0.078
 0.689558 0.0745
 0.689558 0.077
 0.689558 0.04
 0.689558 0.08175
 0.689558 0.0405
 0.689558 0.06375
 0.689558 0.0565
 0.717848 0.063
 0.717848 0.041
 0.717848 0.0425
 0.717848 0.035
 0.717848 0.026
 0.717848 0.04725
 0.717848 0.0585
 0.684732 0.01725
 0.684732 0.028
 0.684732 0.00725
 0.684732 0.01775
 0.684732 0.018
 0.684732 0.008999999999999999
 0.684732 -0.036
 0.639389 -0.0455
 0.639389 -0.074
 0.639389 -0.124
 0.639389 -0.173
 0.639389 -0.131
 0.639389 -0.097
 0.639389 -0.083
 0.634841 -0.099
 0.634841 -0.10675
 0.634841 -0.12
 0.634841 -0.1115
 0.634841 -0.1035
 0.634841 -0.10225
 0.634841 -0.10625
 0.714531 -0.10875
 0.714531 -0.1175
 0.714531 -0.1115
 0.714531 -0.108
 0.714531 -0.11675
 0.714531 -0.116
 0.714531 -0.111
 0.687151 -0.1175
 0.687151 -0.106
 0.687151 -0.0955
 0.687151 -0.1215
 0.687151 -0.112
 0.687151 -0.11475
 0.687151 -0.10225
 0.715761 -0.10825
 0.715761 -0.10875
 0.715761 -0.082
 0.715761 -0.08599999999999999
 0.715761 -0.098
 0.715761 -0.10675
 0.715761 -0.0735
 0.688115 -0.0735
 0.688115 -0.06950000000000001
 0.688115 -0.06
 0.688115 -0.057
 0.688115 -0.06825000000000001
 0.688115 -0.073
 0.688115 -0.06425
 0.7186669999999999 -0.0675
 0.7186669999999999 -0.074
 0.7186669999999999 -0.0655
 0.7186669999999999 -0.0815
 0.7186669999999999 -0.10675
 0.7186669999999999 -0.08400000000000001
 0.7186669999999999 -0.102
 0.710545 -0.09625
 0.710545 -0.08825
 0.710545 -0.098
 0.710545 -0.11225
 0.710545 -0.097
 0.710545 -0.09025
 0.710545 -0.08875
 0.709613 -0.118
 0.709613 -0.11625
 0.709613 -0.101
 0.709613 -0.109
 0.709613 -0.11
 0.709613 -0.13
 0.709613 -0.1295
 0.699254 -0.11475
 0.699254 -0.16275
 0.699254 -0.17425
 0.699254 -0.15675
 0.699254 -0.153
 0.699254 -0.176
 0.699254 -0.18475
 0.6961000000000001 -0.174
